"Denominación_social";"Domicilio_social";"Latitud";"Longitud";"Fecha_constitución";"CNAE";"Objeto_social";"Tamaño_empresa_por_facturación";"Índice_crec_interanual_ventas";"Tamaño_empresa_por_empleados";"Empleo_fijo";"Empleo_temporal";"Teléfono";"Estado";"URL";"Metatag_descripción";"RRSS";"Cotización_en_bolsa";"Actividad_internacional";"Capital_social";"Empleados";"Empleados_año";"Resultado";"stringasfactor"
"Calidad Pascual Sau";"CARRETERA PALENCIA, S/N";41,67179731;-3,69192201;"10/07/1969";"4633 - Comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles";"Mayorista productos lácteos";"Mayor de 30 millones €";"2016: 
2017: 1,02 %
2018: 1,73 %";"Más de 250";"2014: 90,21 %
2015: 92,67 %
2016: 94,70 %
2017: 92,90 %
2018: 91,70 %";"2014: 9,78 %
2015: 7,32 %
2016: 5,29 %
2017: 7,09 %
2018: 8,29 %";"912035500";"Activa";"http://www.lechepascual.es";"Cuidamos nuestras vacas: en Leche Pascual somos el único gran fabricante en certificar todas nuestras granjas con el sello de Bienestar Animal de AENOR. -";"https://www.facebook.com/LechePascual, https://twitter.com/lechepascual_es, https://www.instagram.com/lechepascual_es/";"NO";"Exporta";"12.726.235,11 €";"1643 (año 2020)";"2020";"Negativo Consultar";FALSE
"Qualianza Servicios Integrales De Distribucion Sl.";"CARRETERA PALENCIA, S/N";41,67179731;-3,69192201;"19/06/2013";"4633 - Comercio al por mayor de productos lácteos, huevos, aceites y grasas comestibles";"Distribución de productos de alimentación";"Mayor de 30 millones €";"2016: 
2017: 1,73 %
2018: 8,13 %";"Más de 250";"2014: 94,64 %
2015: 94,66 %
2016: 93,78 %
2017: 93,24 %
2018: 90,47 %";"2014: 5,35 %
2015: 5,33 %
2016: 6,21 %
2017: 6,75 %
2018: 9,52 %";"947511020";"Activa";"http://www.qualianza.com";"Pascual engloba un amplio portafolio de marcas de alimentación y bebidas, innovadoras y líderes en el mercado, bajo un denominador común: la calidad -";"https://www.facebook.com/CalidadPascual?hc_location=timeline#!/CalidadPascual?hc_location=timeline, https://www.facebook.com/CalidadPascual?hc_location=timeline#!/CalidadPascual?hc_location=timeline, https://twitter.com/pascual, https://twitter.com/pascual, https://www.instagram.com/pascual/, https://www.instagram.com/pascual/, https://www.linkedin.com/company/calidad-pascual/, https://es.linkedin.com/company/calidad-pascual";"NO";"No constan";"1.622.100 €";"525 (año 2018)";"2018";"Negativo Consultar";FALSE
"Aranda Coated Solutions Sl.";"CALLE PREMIOS ENVERO (POL INDUSTRIAL PRADO MARINA), 8 - NAVE 10";41,656725;-3,708324;"01/03/2007";"2410 - Fabricación de productos básicos de hierro, acero y ferroaleaciones";"Pintado de bobinas y flejado.";"Mayor de 30 millones €";"2016: 
2017: 27,21 %
2018: -0,82 %";"Entre 50 y 250";"2014: 100,00 %
2015: 100,00 %
2016: 100,00 %
2017: 68,18 %
2018: 100,00 %";"2014: 0 %
2015: 0 %
2016: 0 %
2017: 31,81 %
2018: 0 %";"947501091";"Activa";"http://www.coatedsolutions.com";"- -";"";"NO";"Importa y Exporta";"7.945.994 €";"54 (año 2020)";"2020";"Positivo Consultar";FALSE
"Glaxo Wellcome S.a.u";"AVENIDA EXTREMADURA (POL. INDUSTRIAL ALLENDEDUERO), 3";41,664711;-3,722984;"13/03/1970";"2120 - Fabricación de especialidades farmacéuticas";"Fabricación de productos farmacéuticos";"Mayor de 30 millones €";"2016: 
2017: 4,38 %
2018: 7,84 %";"Más de 250";"2014: 87,99 %
2015: 85,38 %
2016: 86,49 %
2017: 90,81 %
2018: 89,91 %";"2014: 12,00 %
2015: 14,61 %
2016: 13,50 %
2017: 9,18 %
2018: 10,08 %";"947529700";"Activa";"-";"-";"-";"NO";"Importa y Exporta";"2.569.876 €";"599 (año 2019)";"2019";"Positivo Consultar";FALSE
"Harinera Arandina, Sa";"CARRETERA N-I, S/N - KM 157";41,688046;-3,685553;"10/11/1982";"1061 - Fabricación de productos de molinería";"Fabricación de harina.";"Mayor de 30 millones €";"2017: 
2018: 25,33 %
2019: 11,31 %";"Entre 25 y 50";"2015: 87,75 %
2016: 87,50 %
2018: 85,71 %
2019: 83,01 %";"2015: 12,24 %
2016: 12,50 %
2018: 14,28 %
2019: 16,98 %";"947500400";"Activa";"http://www.harineraarandina.com";"- -";"";"NO";"Importa";"1.030.890,72 €";"49 (año 2020)";"2020";"Positivo Consultar";FALSE
"Tecnoaranda Sl";"CALLE PREMIOS ENVERO - PG IND PRADO MARINA, 10";41,656725;-3,708324;"14/03/2008";"2511 - Fabricación de estructuras metálicas y sus componentes";"Fabricación de estructuras metálicas en chapa gruesa y calderería.";"Mayor de 30 millones €";"2017: 
2018: -1,58 %
2019: 12,38 %";"Más de 250";"2015: 63,38 %
2016: 63,07 %
2017: 66,85 %
2018: 86,25 %
2019: 81,52 %";"2015: 36,61 %
2016: 36,92 %
2017: 33,14 %
2018: 13,74 %
2019: 18,47 %";"947280000";"Activa";"http://www.tecnoaranda.com";"- tecnoaranda, torres eÃ³licas, torres para autogeneradores, chapa gruesa a medida, chapa industrial, bobina laminada en caliente, tuberÃ­a soldada, arco sumergido, SAW, caldererÃ­a industrial,logÃ­stica, cargas pesadas, cargas voluminosas, transporte especial, centro de servicios, planta integrada eficiente";"";"NO";"Importa y Exporta";"34.787.415 €";"314 (año 2019)";"2019";"Positivo Consultar";FALSE
"Todoaceros Sl";"CALLE PREMIOS ENVERO, 8 - POL INDUSTRIAL PRADO MARINA";41,656725;-3,708324;"01/03/2007";"2561 - Tratamiento y revestimiento de metales";"Decapado mecánico del acero.";"Mayor de 30 millones €";"2016: 
2017: 27,42 %
2018: 25,42 %";"Entre 25 y 50";"2014: 100,00 %
2015: 100,00 %
2016: 100,00 %
2017: 64,70 %
2018: 100,00 %";"2014: 0 %
2015: 0 %
2016: 0 %
2017: 35,29 %
2018: 0 %";"947501091";"Activa";"http://www.todoaceros.com";"- -";"";"NO";"Importa y Exporta";"4.550.219 €";"25 (año 2020)";"2020";"Negativo Consultar";FALSE
"Porcipar Sl";"CARRETERA SORIA (KM 267)";41,648422;-3,673968;"19/06/1995";"4623 - Comercio al por mayor de animales vivos";"Comercio al por mayor de animales vivos.";"Mayor de 30 millones €";"2017: 
2018: 7,34 %
2019: 11,83 %";"Menos de 5";"2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %";"2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %";"947511488";"Activa";"http://www.depabloarribas.com";"Hnos. De Pablo Arribas.
Transporte, producción y comercio de ganado porcino. De pablo, transporte, producción, comercio, porcino, aranda de duero";"";"NO";"Importa y Exporta";"3.606,07 €";"4 (año 2019)";"2019";"Positivo Consultar";FALSE
"Artepref Sa";"CARRETERA PALENCIA (KM 2 8)";41,67179731;-3,69192201;"29/10/1987";"2361 - Fabricación de elementos de hormigón para la construcción";"Prefabricados pesados.";"Entre 6 y 30 millones €";"2016: 
2017: 29,45 %
2018: 19,2 %
2019:  %";"Entre 50 y 250";"2014: 100,00 %
2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %";"2014: 0 %
2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %";"947504600";"Activa";"http://www.artepref.com";"Creamos edificios singulares mediante prefabricados de hormigón armado. Naves industriales, naves prefabricadas, vigas, pórticos y paneles para cerramientos -";"https://www.facebook.com/artepref.hormigonprefabricado, https://twitter.com/artepref";"NO";"Importa y Exporta";"100.000 €";"141 (año 2020)";"2020";"Positivo Consultar";FALSE
"Constructora Peache Sau";"CALLE BURGO DE OSMA, 52 - BJ INTERIOR";41,66721394;-3,68862166;"22/12/1971";"4121 - Construcción de edificios residenciales";"Construcción de edificios, bodegas, locales y naves industriales.";"Entre 6 y 30 millones €";"2016: 
2017: 23,87 %
2018: -21,83 %
2019:  %";"Entre 25 y 50";"2014: 65,85 %
2015: 59,57 %
2016: 60,00 %
2017: 58,97 %
2018: 62,79 %";"2014: 34,14 %
2015: 40,42 %
2016: 40,00 %
2017: 41,02 %
2018: 37,20 %";"947502200";"Activa";"http://www.constructorapeache.com";"Descripcion del sitio -";"";"NO";"No constan";"193.371,75 €";"45 (año 2020)";"2020";"Negativo Consultar";FALSE
