"var_titulo";"var_valoracion";"var_reviews";"var_categoria";"var_latitud";"var_longitud";"var_direccion";"var_plus_code";"var_web";"var_telefono";"var_women_led";"var_horarios";"var_cierre_temp";"var_url_gg"
"Almacen De Calzado";0;0;"Zapatería";41,6673799;-3,689919;"Ctra. Estación, 26, 09400 Aranda de Duero, Burgos";"M886+X2 Aranda de Duero";"0";"0";"0";"0";"-";"https://www.google.es/maps/place/Almacen+De+Calzado/@41.6673799,-3.6942964,16z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Zapater%C3%ADa!3m4!1s0xd44265bcdff2b17:0x20e2563b8c423780!8m2!3d41.6673799!4d-3.689919"
"Calzados Yesi Rodriguez";0;0;"Zapatería";41,6702007;-3,6887386;"Plaza Mayor, 09400 Aranda de Duero, Burgos";"M8C6+3G Aranda de Duero";"0";"0";"0";"0";"-";"https://www.google.es/maps/place/Calzados+Yesi+Rodriguez/@41.6666212,-3.688916,16z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Zapater%C3%ADa!3m4!1s0xd442712f51b5067:0x4f7ac1117583a30e!8m2!3d41.6702007!4d-3.6887386"
"Calzados Cea";0;0;"Zapatería";41,6717606;-3,6840058;"Calle Carrequemada, 25, 09400 Aranda de Duero, Burgos";"M8C8+P9 Aranda de Duero";"0";"0";"0";"0";"-";"https://www.google.es/maps/place/Calzados+Cea/@41.6666212,-3.688916,16z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Zapater%C3%ADa!3m4!1s0xd44265d35077e6d:0xd71fc917afde0028!8m2!3d41.6717606!4d-3.6840058"
"pabloochoa.shoes";3,3;3;"Zapatería";41,6709439;-3,6856771;"Ronda nº13, Bajos, 09400 Aranda de Duero, Burgos";"M8C7+9P Aranda de Duero";"pabloochoashoes.com";"947 55 93 21";"0";"miércoles, De 10:00 a 14:00, De 17:00 a 20:00; jueves, De 10:00 a 14:00, De 17:00 a 20:00; viernes, De 10:00 a 14:00, De 17:00 a 20:00; sábado, De 10:00 a 14:00, De 17:00 a 20:00; domingo, Cerrado; lunes, De 10:00 a 14:00, De 17:00 a 20:00; martes, De 10:00 a 14:00, De 17:00 a 20:00.";"-";"https://www.google.es/maps/place/pabloochoa.shoes/@41.6666212,-3.688916,16z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Zapater%C3%ADa!3m4!1s0xd4427518903b23d:0xdf25c308c0fd9840!8m2!3d41.6709439!4d-3.6856771"
"CALZADOS CEA";0;0;"Zapatería";41,6711517;-3,6868657;"Calle Isilla, 6, 09400 Aranda de Duero, Burgos";"M8C7+F7 Aranda de Duero";"0";"947 54 60 94";"0";"miércoles, De 10:00 a 14:00, De 17:00 a 20:30; jueves, De 10:00 a 14:00, De 17:00 a 20:30; viernes, De 10:00 a 14:00, De 17:00 a 20:30; sábado, De 10:00 a 14:30; domingo, Cerrado; lunes, De 10:00 a 14:00, De 17:00 a 20:30; martes, De 10:00 a 14:00, De 17:00 a 20:30.";"-";"https://www.google.es/maps/place/CALZADOS+CEA/@41.6666212,-3.688916,16z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Zapater%C3%ADa!3m4!1s0xd44265cba46912f:0x3bcccd01d46324d4!8m2!3d41.6711517!4d-3.6868657"
"Borjapiel";3,8;5;"Zapatería";41,6699367;-3,6842799;"Calle Sol de las Moreras, 3, 09400 Aranda de Duero, Burgos";"M898+X7 Aranda de Duero";"facebook.com";"672 09 17 97";"0";"miércoles, De 10:00 a 14:00, De 17:30 a 20:30; jueves, De 10:00 a 14:00, De 17:30 a 20:30; viernes, De 10:00 a 14:00, De 17:30 a 20:30; sábado, De 10:30 a 14:00; domingo, Cerrado; lunes, De 10:00 a 14:00, De 17:30 a 20:30; martes, De 10:00 a 14:00, De 17:30 a 20:30.";"-";"https://www.google.es/maps/place/Borjapiel/@41.6666212,-3.688916,16z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Zapater%C3%ADa!3m4!1s0xd44265d0f844411:0x8d163f09ffca0813!8m2!3d41.6699367!4d-3.6842799"
"Calzados Velasco";4,1;9;"Zapatería";41,6711341;-3,6854638;"Calle Ricaposada, 9, 09400 Aranda de Duero, Burgos";"M8C7+FR Aranda de Duero";"0";"0";"0";"miércoles, De 9:55 a 20:00; jueves, De 9:55 a 20:00; viernes, De 9:55 a 20:00; sábado, De 9:55 a 20:00; domingo, Cerrado; lunes, De 9:55 a 20:00; martes, De 9:55 a 20:00.";"-";"https://www.google.es/maps/place/Calzados+Velasco/@41.6666212,-3.688916,16z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Zapater%C3%ADa!3m4!1s0xd4426432b34e055:0x9bd58898328cb67d!8m2!3d41.6711341!4d-3.6854638"
"Calzados García";3;1;"Zapatería";41,6688901;-3,6905176;"Av. Castilla, 3, 09400 Aranda de Duero, Burgos";"M895+HQ Aranda de Duero";"0";"947 50 07 56";"0";"miércoles, De 10:00 a 14:00; jueves, De 10:00 a 14:00; viernes, De 10:00 a 14:00; sábado, De 10:00 a 14:00; domingo, Cerrado; lunes, De 10:00 a 14:00; martes, De 10:00 a 14:00.";"-";"https://www.google.es/maps/place/Calzados+Garc%C3%ADa/@41.6688901,-3.694895,16z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Zapater%C3%ADa!3m4!1s0xd44265a56ab2263:0xe4c9e83b5280f985!8m2!3d41.6688901!4d-3.6905176"
"Zapatería infantil y juvenil – ANDARINES";4;3;"Zapatería";41,6701271;-3,6876346;"Calle Sta. Lucía, 8, 09400 Aranda de Duero, Burgos";"M8C6+3W Aranda de Duero";"tutiendavecina.com";"947 51 29 80";"0";"miércoles, De 10:00 a 14:00, De 17:30 a 20:30; jueves, De 10:00 a 14:00, De 17:30 a 20:30; viernes, De 10:00 a 14:00, De 17:30 a 20:30; sábado, De 10:00 a 14:00; domingo, Cerrado; lunes, De 10:00 a 14:00, De 17:30 a 20:30; martes, De 10:00 a 14:00, De 17:30 a 20:30.";"-";"https://www.google.es/maps/place/Zapater%C3%ADa+infantil+y+juvenil+%E2%80%93+ANDARINES/@41.6666212,-3.688916,16z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Zapater%C3%ADa!3m4!1s0xd44265c9d8bd511:0x9f9ee4656823aa37!8m2!3d41.6701271!4d-3.6876346"
"Zapatería Gonzalo";4,5;4;"Zapatería";41,6614818;-3,6942829;"Plaza Mediterráneo, 1, 09400 Aranda de Duero, Burgos";"M864+H7 Aranda de Duero";"0";"947 51 21 57";"0";"miércoles, De 10:00 a 14:00, De 17:00 a 20:30; jueves, De 10:00 a 14:00, De 17:00 a 20:30; viernes, De 10:00 a 14:00, De 17:00 a 20:30; sábado, De 10:00 a 14:00; domingo, Cerrado; lunes, De 10:00 a 14:00, De 17:00 a 20:30; martes, De 10:00 a 14:00, De 17:00 a 20:30.";"-";"https://www.google.es/maps/place/Zapater%C3%ADa+Gonzalo/@41.6614818,-3.6986603,16z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Zapater%C3%ADa!3m4!1s0xd4426f8735a1b47:0xf8c7211b8518ca2f!8m2!3d41.6614818!4d-3.6942829"
