"var_titulo";"var_valoracion";"var_reviews";"var_categoria";"var_latitud";"var_longitud";"var_plus_code";"var_url_gg";"var_topics";"var_topics_num"
"Bodegas Comenge";4,6;60;"Viñedo";41,6377432;-4,1040506;"JVQW+39 Curiel de Duero";"https://www.google.es/maps/place/Bodegas+Comenge/@41.6377432,-4.1740884,12z/data=!4m9!1m3!2m2!1s+Aranda+de+Duero+Vi%C3%B1edo!6e5!3m4!1s0xd46ece4beaaaaab:0xa9030222cf109a33!8m2!3d41.6377432!4d-4.1040506";"familia";7
"Bodegas Comenge";4,6;60;"Viñedo";41,6377432;-4,1040506;"JVQW+39 Curiel de Duero";"https://www.google.es/maps/place/Bodegas+Comenge/@41.6377432,-4.1740884,12z/data=!4m9!1m3!2m2!1s+Aranda+de+Duero+Vi%C3%B1edo!6e5!3m4!1s0xd46ece4beaaaaab:0xa9030222cf109a33!8m2!3d41.6377432!4d-4.1040506";"cata";6
"Bodegas Comenge";4,6;60;"Viñedo";41,6377432;-4,1040506;"JVQW+39 Curiel de Duero";"https://www.google.es/maps/place/Bodegas+Comenge/@41.6377432,-4.1740884,12z/data=!4m9!1m3!2m2!1s+Aranda+de+Duero+Vi%C3%B1edo!6e5!3m4!1s0xd46ece4beaaaaab:0xa9030222cf109a33!8m2!3d41.6377432!4d-4.1040506";"explicación";5
"Bodegas Comenge";4,6;60;"Viñedo";41,6377432;-4,1040506;"JVQW+39 Curiel de Duero";"https://www.google.es/maps/place/Bodegas+Comenge/@41.6377432,-4.1740884,12z/data=!4m9!1m3!2m2!1s+Aranda+de+Duero+Vi%C3%B1edo!6e5!3m4!1s0xd46ece4beaaaaab:0xa9030222cf109a33!8m2!3d41.6377432!4d-4.1040506";"comida";5
"Bodegas Comenge";4,6;60;"Viñedo";41,6377432;-4,1040506;"JVQW+39 Curiel de Duero";"https://www.google.es/maps/place/Bodegas+Comenge/@41.6377432,-4.1740884,12z/data=!4m9!1m3!2m2!1s+Aranda+de+Duero+Vi%C3%B1edo!6e5!3m4!1s0xd46ece4beaaaaab:0xa9030222cf109a33!8m2!3d41.6377432!4d-4.1040506";"ecológicos";4
"Bodegas Comenge";4,6;60;"Viñedo";41,6377432;-4,1040506;"JVQW+39 Curiel de Duero";"https://www.google.es/maps/place/Bodegas+Comenge/@41.6377432,-4.1740884,12z/data=!4m9!1m3!2m2!1s+Aranda+de+Duero+Vi%C3%B1edo!6e5!3m4!1s0xd46ece4beaaaaab:0xa9030222cf109a33!8m2!3d41.6377432!4d-4.1040506";"elaboración del vino";4
"Bodegas Comenge";4,6;60;"Viñedo";41,6377432;-4,1040506;"JVQW+39 Curiel de Duero";"https://www.google.es/maps/place/Bodegas+Comenge/@41.6377432,-4.1740884,12z/data=!4m9!1m3!2m2!1s+Aranda+de+Duero+Vi%C3%B1edo!6e5!3m4!1s0xd46ece4beaaaaab:0xa9030222cf109a33!8m2!3d41.6377432!4d-4.1040506";"experiencia";4
"La Pícara Gastroteca";4,4;454;"Bar restaurante";41,6714047;-3,6894969;"M8C6+H6 Aranda de Duero";"https://www.google.es/maps/place/La+P%C3%ADcara+Gastroteca/@41.65455,-3.7054611,13z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Vinoteca!3m4!1s0xd44265b3ac5cacf:0x1ee2c225e4e69d26!8m2!3d41.6714047!4d-3.6894969";"carta";27
"La Pícara Gastroteca";4,4;454;"Bar restaurante";41,6714047;-3,6894969;"M8C6+H6 Aranda de Duero";"https://www.google.es/maps/place/La+P%C3%ADcara+Gastroteca/@41.65455,-3.7054611,13z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Vinoteca!3m4!1s0xd44265b3ac5cacf:0x1ee2c225e4e69d26!8m2!3d41.6714047!4d-3.6894969";"postre";25
"La Pícara Gastroteca";4,4;454;"Bar restaurante";41,6714047;-3,6894969;"M8C6+H6 Aranda de Duero";"https://www.google.es/maps/place/La+P%C3%ADcara+Gastroteca/@41.65455,-3.7054611,13z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Vinoteca!3m4!1s0xd44265b3ac5cacf:0x1ee2c225e4e69d26!8m2!3d41.6714047!4d-3.6894969";"pinchos";18
